number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,state
0,0.5240084659380362,2022-08-29 19:06:22.218745,2022-08-29 19:06:32.533317,0 days 00:00:10.314572,4.976571320483768,gbtree,0.015121952032181139,2.6629707530600082e-05,lossguide,2.709650232342446e-06,2,COMPLETE
1,0.8839953162398113,2022-08-29 19:06:32.534421,2022-08-29 19:06:50.893094,0 days 00:00:18.358673,0.24208564045063913,gbtree,0.03910282731411191,1.297663680165544e-07,depthwise,0.009100623238627755,5,COMPLETE
2,-2.009793046042736,2022-08-29 19:06:50.893803,2022-08-29 19:07:10.596919,0 days 00:00:19.703116,3.141106921199639e-06,gbtree,6.083910939143399e-07,0.005443341093209546,depthwise,1.6840744040910158,5,COMPLETE
3,-0.28155559785489753,2022-08-29 19:07:10.597637,2022-08-29 19:07:18.092427,0 days 00:00:07.494790,3604.805970700709,gbtree,0.0057023888163725295,0.01889638232792569,depthwise,6.88912945005754e-08,2,COMPLETE
4,-0.31652925729431247,2022-08-29 19:07:18.093185,2022-08-29 19:07:32.619613,0 days 00:00:14.526428,293.27436437491076,gbtree,0.004735841866119419,2.2701781421670363e-05,depthwise,0.01181708982665982,4,COMPLETE
5,-2.0100951480551776,2022-08-29 19:07:32.620476,2022-08-29 19:07:43.504072,0 days 00:00:10.883596,210.81650317769436,gbtree,7.659601435019741e-08,0.0019551856241900945,depthwise,1.8027048103075386e-06,3,COMPLETE
6,-2.0100747878489997,2022-08-29 19:07:43.504802,2022-08-29 19:08:01.454601,0 days 00:00:17.949799,1.8171019310711534e-05,gbtree,1.0809168009428692e-07,0.00046797741870215157,depthwise,0.05023226973011652,5,COMPLETE
7,-2.0015400043858524,2022-08-29 19:08:01.455223,2022-08-29 19:08:15.725272,0 days 00:00:14.270049,0.014820675348445202,gbtree,1.675528951474977e-05,0.001895472434766303,depthwise,162.75159044488356,4,COMPLETE
8,-1.932324938743438,2022-08-29 19:08:15.726179,2022-08-29 19:08:30.105922,0 days 00:00:14.379743,308.85526462613655,gbtree,0.00014326924991127284,0.5254523971362381,depthwise,5.905865848846999e-05,4,COMPLETE
9,-0.18292592376475367,2022-08-29 19:08:30.106682,2022-08-29 19:08:43.932572,0 days 00:00:13.825890,0.00019124135626863006,gbtree,0.007943614357417209,0.03238398025728782,depthwise,3607.7544595844483,4,COMPLETE
10,-2.004135650600576,2022-08-29 19:08:43.933285,2022-08-29 19:08:50.653793,0 days 00:00:06.720508,2.1986904972682466e-08,gbtree,0.00018225983694590463,3.238478067174319e-08,lossguide,993165.8601524517,5,COMPLETE
11,0.7972544897613137,2022-08-29 19:08:50.654535,2022-08-29 19:08:57.866747,0 days 00:00:07.212212,0.4622210357951755,gbtree,0.03947125468280103,2.5908712046456125e-06,lossguide,0.00016270534104454533,2,COMPLETE
12,0.8528812617585588,2022-08-29 19:08:57.867403,2022-08-29 19:09:08.279129,0 days 00:00:10.411726,452371.2975692672,gbtree,0.048096146432251824,1.6332615939569465e-07,lossguide,0.0005243930881341106,3,COMPLETE
13,-1.7105962673944681,2022-08-29 19:09:08.279828,2022-08-29 19:09:18.956099,0 days 00:00:10.676271,279945.97685339896,gbtree,0.0005983806872714137,1.0593097943119925e-08,lossguide,0.002121996754466955,3,COMPLETE
